rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,late_delay,delay
532802,373061,mobile,ended,-98.0,,,Early,early
533294,364052,mobile,ended,-33.0,,,Early,early
533303,336902,mobile,ended,-340.0,,,Early,early
533380,314456,connect,ended,-167.0,,,Early,early
533442,389958,mobile,ended,31.0,,,30 < Late < 45,late
533611,388597,mobile,canceled,,,,NaN,early
533670,320824,connect,ended,-6.0,556563.0,630.0,Early,early
533683,271380,mobile,ended,79.0,,,60 < Late < 90,late
533696,408511,mobile,ended,,,,NaN,early
533790,394562,mobile,ended,30.0,,,30 < Late < 45,late
534017,370797,mobile,canceled,,,,NaN,early
534091,399459,mobile,canceled,,,,NaN,early
534611,392176,mobile,ended,33.0,,,30 < Late < 45,late
534654,303652,mobile,ended,-52.0,,,Early,early
534789,395243,mobile,ended,44.0,,,30 < Late < 45,late
534820,373893,connect,ended,-576.0,,,Early,early
534827,404169,mobile,ended,-7.0,531158.0,90.0,Early,early
534882,194379,mobile,canceled,,,,NaN,early
534926,390702,connect,ended,-178.0,,,Early,early
534943,358567,connect,ended,37.0,,,30 < Late < 45,late
534956,344594,mobile,ended,24.0,,,15 < Late < 30,late
535071,358480,mobile,ended,40.0,,,30 < Late < 45,late
535116,380364,mobile,ended,137.0,,,Late > 120,late
535139,384575,mobile,ended,249.0,,,Late > 120,late
535313,396552,mobile,ended,23.0,,,15 < Late < 30,late
535331,402083,connect,ended,-108.0,,,Early,early
535399,362659,mobile,ended,-6.0,,,Early,early
535514,348178,mobile,ended,-150.0,,,Early,early
535601,376381,mobile,ended,9.0,,,Late < 15,late
535611,397814,mobile,ended,68.0,535512.0,300.0,60 < Late < 90,late
535726,375944,connect,ended,38.0,,,30 < Late < 45,late
535738,398733,mobile,ended,-1.0,,,Early,early
535770,352436,mobile,ended,74.0,524703.0,60.0,60 < Late < 90,late
535821,381583,mobile,ended,-10.0,,,Early,early
536108,337311,mobile,ended,-843.0,,,Early,early
536190,394560,mobile,canceled,,,,NaN,early
536343,369230,mobile,ended,780.0,,,Late > 120,late
536444,389785,connect,ended,-130.0,,,Early,early
536914,363387,mobile,canceled,,,,NaN,early
536978,378931,mobile,ended,271.0,,,Late > 120,late
536990,193354,mobile,ended,-12.0,,,Early,early
537040,267735,mobile,ended,933.0,,,Late > 120,late
537060,223654,mobile,canceled,,,,NaN,early
537069,403304,mobile,canceled,,,,NaN,early
537082,359641,mobile,ended,1967.0,,,Late > 120,late
537277,342067,mobile,ended,-125.0,,,Early,early
537352,349280,mobile,ended,-96.0,,,Early,early
537381,338052,mobile,ended,205.0,,,Late > 120,late
537464,300336,mobile,canceled,,,,NaN,early
537576,397470,mobile,ended,18.0,539005.0,0.0,15 < Late < 30,late
537627,390736,mobile,ended,48.0,,,45 < Late < 60,late
537677,389994,mobile,ended,266.0,,,Late > 120,late
537705,404731,mobile,ended,36.0,,,30 < Late < 45,late
537803,390467,connect,canceled,,,,NaN,early
537822,396544,mobile,ended,-35.0,,,Early,early
537923,313085,mobile,ended,80.0,,,60 < Late < 90,late
538012,192803,mobile,ended,3233.0,,,Late > 120,late
538105,243218,mobile,ended,-24.0,,,Early,early
538184,347242,mobile,ended,-129.0,,,Early,early
538194,380708,connect,ended,2.0,,,Late < 15,late
538251,401964,mobile,ended,-37.0,,,Early,early
538328,409359,mobile,ended,8.0,,,Late < 15,late
538437,408937,mobile,ended,-155.0,,,Early,early
538501,396281,mobile,ended,134.0,,,Late > 120,late
538569,406984,mobile,ended,-15.0,,,Early,early
538660,297511,mobile,ended,13.0,,,Late < 15,late
538678,351549,connect,ended,-348.0,,,Early,early
538852,311437,mobile,ended,-120.0,,,Early,early
538882,369219,mobile,ended,85.0,,,60 < Late < 90,late
539071,388231,mobile,ended,-35.0,,,Early,early
539196,347612,mobile,ended,66.0,,,60 < Late < 90,late
539241,394966,mobile,ended,,,,NaN,early
539262,359046,mobile,ended,32.0,,,30 < Late < 45,late
539369,390467,connect,ended,41.0,,,30 < Late < 45,late
539396,388032,mobile,ended,3.0,,,Late < 15,late
539451,355444,connect,ended,-536.0,,,Early,early
539558,370997,connect,canceled,,,,NaN,early
539688,369483,mobile,ended,216.0,,,Late > 120,late
539711,320531,mobile,ended,,,,NaN,early
539865,277766,mobile,ended,28.0,,,15 < Late < 30,late
539923,247971,mobile,ended,-51.0,,,Early,early
539995,258837,mobile,ended,93.0,,,90 < Late < 120,late
540018,245480,mobile,ended,-196.0,,,Early,early
540190,365531,mobile,ended,9.0,,,Late < 15,late
540217,398802,mobile,ended,-988.0,543426.0,720.0,Early,early
540298,202057,mobile,ended,-6.0,,,Early,early
540330,362860,mobile,ended,-18.0,,,Early,early
540360,404476,mobile,ended,,,,NaN,early
540369,341086,mobile,ended,-62.0,,,Early,early
540434,402505,mobile,ended,210.0,,,Late > 120,late
540479,374684,mobile,ended,12.0,539751.0,0.0,Late < 15,late
540553,303506,mobile,ended,-24.0,,,Early,early
540633,396732,mobile,ended,-5.0,,,Early,early
540643,217777,connect,canceled,,,,NaN,early
540649,352528,connect,ended,90.0,,,90 < Late < 120,late
540733,393558,mobile,ended,15422.0,,,Late > 120,late
540735,314897,mobile,ended,-14.0,,,Early,early
540966,405906,mobile,ended,11.0,,,Late < 15,late
541014,321607,mobile,ended,-7.0,,,Early,early
541060,280562,mobile,ended,146.0,,,Late > 120,late
541174,284552,mobile,ended,-25.0,,,Early,early
541334,372670,mobile,ended,,,,NaN,early
541372,387559,mobile,ended,13.0,,,Late < 15,late
541444,397413,mobile,ended,901.0,,,Late > 120,late
541590,378418,mobile,canceled,,,,NaN,early
541784,408830,mobile,ended,52.0,,,45 < Late < 60,late
541862,382364,mobile,ended,125.0,540607.0,0.0,Late > 120,late
541884,398604,mobile,ended,,,,NaN,early
541948,321674,mobile,ended,165.0,,,Late > 120,late
541991,329496,mobile,ended,-25.0,,,Early,early
542033,164574,mobile,ended,,,,NaN,early
542106,392656,mobile,ended,,,,NaN,early
542149,371368,mobile,ended,83.0,,,60 < Late < 90,late
542203,388268,mobile,ended,69.0,,,60 < Late < 90,late
542222,207728,mobile,ended,156.0,,,Late > 120,late
542300,307595,mobile,ended,,539897.0,30.0,NaN,early
542336,374400,mobile,canceled,,,,NaN,early
542339,322005,mobile,ended,12.0,,,Late < 15,late
542374,409676,mobile,ended,50.0,540444.0,180.0,45 < Late < 60,late
542400,315909,mobile,ended,-7.0,,,Early,early
542413,409980,mobile,canceled,,,,NaN,early
542520,401751,mobile,ended,183.0,,,Late > 120,late
542549,221978,mobile,canceled,,,,NaN,early
542661,391512,mobile,ended,-170.0,,,Early,early
542894,218964,mobile,ended,-36.0,,,Early,early
542942,358082,connect,ended,-106.0,,,Early,early
543012,393044,mobile,ended,9.0,,,Late < 15,late
543050,379428,mobile,ended,-21.0,,,Early,early
543088,200316,mobile,ended,64.0,,,60 < Late < 90,late
543150,410052,mobile,ended,23.0,,,15 < Late < 30,late
543180,350521,mobile,ended,14.0,,,Late < 15,late
543186,395671,mobile,ended,5.0,,,Late < 15,late
543243,344149,mobile,ended,300.0,,,Late > 120,late
543251,409296,mobile,ended,-18.0,,,Early,early
543257,389929,mobile,ended,,,,NaN,early
543287,377312,mobile,ended,12.0,,,Late < 15,late
543321,371572,connect,ended,48.0,,,45 < Late < 60,late
543328,358772,connect,ended,-9.0,552619.0,240.0,Early,early
543437,409808,mobile,ended,-57.0,,,Early,early
543443,356551,connect,ended,-529.0,,,Early,early
543464,399161,mobile,ended,670.0,,,Late > 120,late
543614,378939,mobile,ended,-1087.0,,,Early,early
543676,390481,mobile,ended,-53.0,,,Early,early
543679,225795,connect,ended,64.0,540663.0,540.0,60 < Late < 90,late
543681,368432,mobile,ended,2.0,,,Late < 15,late
543761,294189,mobile,ended,24.0,,,15 < Late < 30,late
543768,374169,connect,canceled,,543010.0,210.0,NaN,early
543780,319708,mobile,ended,55.0,,,45 < Late < 60,late
543808,369230,mobile,ended,75.0,536315.0,60.0,60 < Late < 90,late
543879,270665,mobile,ended,,,,NaN,early
543906,401666,mobile,ended,,,,NaN,early
543984,313085,mobile,ended,-44.0,,,Early,early
544164,301301,connect,ended,-244.0,,,Early,early
544167,306607,connect,ended,337.0,,,Late > 120,late
544197,387939,connect,ended,39.0,,,30 < Late < 45,late
544443,337047,mobile,ended,56.0,,,45 < Late < 60,late
544489,405565,mobile,canceled,,,,NaN,early
544586,312389,mobile,ended,31.0,,,30 < Late < 45,late
544617,367627,mobile,ended,-23.0,,,Early,early
544642,176755,mobile,canceled,,,,NaN,early
544763,394781,mobile,ended,233.0,,,Late > 120,late
544777,387810,connect,ended,50.0,,,45 < Late < 60,late
544937,348400,mobile,ended,108.0,,,90 < Late < 120,late
544967,373545,mobile,ended,56.0,,,45 < Late < 60,late
544980,350135,mobile,ended,-2.0,,,Early,early
545064,194343,connect,ended,74.0,,,60 < Late < 90,late
545068,374684,mobile,ended,-31.0,,,Early,early
545171,292910,mobile,ended,7.0,,,Late < 15,late
545202,367365,connect,canceled,,,,NaN,early
545214,363658,mobile,ended,302.0,,,Late > 120,late
545272,370585,connect,ended,-98.0,,,Early,early
545319,353251,mobile,ended,93.0,,,90 < Late < 120,late
545320,224133,mobile,ended,20.0,,,15 < Late < 30,late
545333,217777,connect,canceled,,,,NaN,early
545357,408467,mobile,ended,,,,NaN,early
545438,393172,connect,ended,-467.0,,,Early,early
545640,312840,connect,canceled,,,,NaN,early
545741,409096,mobile,ended,20.0,,,15 < Late < 30,late
545763,366310,mobile,ended,69.0,,,60 < Late < 90,late
545782,382901,mobile,ended,-9.0,,,Early,early
545922,409695,mobile,ended,-80.0,,,Early,early
545947,396470,mobile,ended,-44.0,,,Early,early
546024,381038,mobile,ended,163.0,,,Late > 120,late
546150,242106,mobile,ended,-2.0,,,Early,early
546160,352528,connect,canceled,,546578.0,630.0,NaN,early
546169,409274,mobile,ended,10.0,,,Late < 15,late
546252,408509,mobile,ended,-52.0,,,Early,early
546365,384056,mobile,canceled,,,,NaN,early
546477,383309,mobile,ended,16.0,548486.0,660.0,15 < Late < 30,late
546484,409391,mobile,ended,92.0,,,90 < Late < 120,late
546491,366448,mobile,canceled,,,,NaN,early
546564,392732,mobile,ended,7.0,,,Late < 15,late
546738,288953,mobile,ended,,,,NaN,early
546745,342645,connect,ended,-55.0,,,Early,early
546822,394781,mobile,ended,30.0,,,30 < Late < 45,late
546865,399535,mobile,ended,261.0,,,Late > 120,late
546888,295783,connect,ended,84.0,,,60 < Late < 90,late
546935,348526,connect,ended,85.0,,,60 < Late < 90,late
546938,410452,mobile,ended,10.0,,,Late < 15,late
546957,405122,mobile,ended,-113.0,,,Early,early
546991,377219,connect,ended,423.0,,,Late > 120,late
547033,276276,mobile,ended,500.0,,,Late > 120,late
547039,409872,mobile,ended,,,,NaN,early
547072,395489,mobile,canceled,,,,NaN,early
547122,385574,connect,ended,-5.0,,,Early,early
547160,409344,mobile,ended,1.0,,,Late < 15,late
547177,214635,connect,ended,-548.0,,,Early,early
547188,231676,mobile,ended,266.0,535868.0,30.0,Late > 120,late
547198,381684,mobile,ended,145.0,,,Late > 120,late
547223,188944,connect,ended,8.0,,,Late < 15,late
547236,392147,mobile,ended,-8.0,,,Early,early
547348,374614,mobile,ended,74.0,,,60 < Late < 90,late
547557,408406,mobile,ended,126.0,,,Late > 120,late
548028,409718,mobile,ended,15.0,,,15 < Late < 30,late
548177,411835,mobile,canceled,,,,NaN,early
548215,367346,mobile,ended,-8.0,,,Early,early
548279,317330,connect,ended,-692.0,,,Early,early
548352,409458,mobile,ended,195.0,,,Late > 120,late
548355,375311,mobile,canceled,,,,NaN,early
548453,374241,mobile,canceled,,,,NaN,early
548598,288973,mobile,ended,-133.0,,,Early,early
548603,363820,mobile,ended,-22.0,,,Early,early
548646,282893,mobile,ended,201.0,,,Late > 120,late
548702,406104,mobile,ended,21.0,,,15 < Late < 30,late
548897,278005,mobile,ended,-307.0,,,Early,early
548904,373316,mobile,ended,-40.0,,,Early,early
548912,411521,mobile,ended,225.0,553683.0,60.0,Late > 120,late
548973,227830,mobile,canceled,,,,NaN,early
549047,369608,mobile,ended,-37.0,,,Early,early
549135,394752,mobile,canceled,,,,NaN,early
549261,360829,mobile,ended,-12.0,,,Early,early
549266,411687,mobile,ended,-11.0,,,Early,early
549273,175887,connect,ended,-26.0,,,Early,early
549290,364907,connect,ended,-49.0,,,Early,early
549340,181607,mobile,ended,381.0,,,Late > 120,late
549345,369881,connect,ended,22.0,,,15 < Late < 30,late
549444,177058,mobile,ended,144.0,,,Late > 120,late
549446,391174,mobile,ended,69.0,,,60 < Late < 90,late
549499,408814,mobile,ended,19.0,,,15 < Late < 30,late
549558,328016,mobile,ended,10.0,,,Late < 15,late
549579,273263,mobile,ended,-5.0,,,Early,early
549674,390702,connect,ended,-127.0,,,Early,early
549692,358131,mobile,ended,-158.0,,,Early,early
549808,310219,connect,ended,54.0,,,45 < Late < 60,late
549874,409690,mobile,ended,3.0,,,Late < 15,late
549901,383481,mobile,ended,201.0,,,Late > 120,late
549923,407730,mobile,ended,167.0,,,Late > 120,late
549983,356540,mobile,ended,,,,NaN,early
550000,378182,mobile,ended,-136.0,,,Early,early
550134,294883,mobile,ended,-158.0,,,Early,early
550211,407838,mobile,ended,20.0,,,15 < Late < 30,late
550224,358567,connect,ended,-7.0,,,Early,early
550246,408578,mobile,ended,-15.0,,,Early,early
550248,382901,mobile,ended,-127.0,545782.0,60.0,Early,early
550459,295815,mobile,ended,82.0,,,60 < Late < 90,late
550537,239798,connect,ended,37.0,,,30 < Late < 45,late
550660,399967,mobile,ended,0.0,,,Late < 15,early
550723,380886,mobile,ended,,545855.0,120.0,NaN,early
550808,346652,connect,ended,-41.0,,,Early,early
550929,310681,connect,ended,-25.0,,,Early,early
550964,229360,mobile,canceled,,,,NaN,early
551031,409711,mobile,ended,-1283.0,,,Early,early
551040,383343,mobile,ended,40.0,,,30 < Late < 45,late
551069,359880,connect,ended,-22.0,549192.0,180.0,Early,early
551108,291723,mobile,ended,211.0,,,Late > 120,late
551128,382939,mobile,ended,97.0,,,90 < Late < 120,late
551137,295783,connect,ended,16.0,,,15 < Late < 30,late
551179,304570,mobile,ended,536.0,,,Late > 120,late
551227,341710,mobile,ended,159.0,,,Late > 120,late
551311,409112,mobile,ended,,,,NaN,early
551317,283001,mobile,ended,-7.0,,,Early,early
551364,406062,connect,ended,34.0,,,30 < Late < 45,late
551429,277888,mobile,ended,203.0,,,Late > 120,late
551591,304055,mobile,ended,,,,NaN,early
551679,381233,mobile,ended,275.0,,,Late > 120,late
551695,374293,mobile,canceled,,,,NaN,early
551795,382793,mobile,ended,-193.0,,,Early,early
551868,409330,mobile,ended,,,,NaN,early
551907,171249,mobile,ended,11.0,,,Late < 15,late
552204,348625,mobile,ended,91.0,,,90 < Late < 120,late
552209,412676,mobile,ended,23.0,,,15 < Late < 30,late
552233,245154,connect,ended,4.0,,,Late < 15,late
552265,408202,mobile,ended,-28.0,,,Early,early
552312,384045,mobile,canceled,,,,NaN,early
552330,384657,connect,ended,23.0,554800.0,0.0,15 < Late < 30,late
552342,376619,mobile,ended,-965.0,547312.0,0.0,Early,early
552389,307335,mobile,ended,6.0,,,Late < 15,late
552425,385625,connect,ended,-102.0,550476.0,30.0,Early,early
552448,364662,mobile,ended,-232.0,,,Early,early
552524,173061,connect,ended,-22.0,,,Early,early
552655,406081,mobile,ended,322.0,,,Late > 120,late
552677,323777,mobile,ended,31.0,,,30 < Late < 45,late
552700,348673,mobile,ended,63.0,,,60 < Late < 90,late
552716,294883,mobile,ended,10.0,,,Late < 15,late
552850,315136,connect,ended,40.0,,,30 < Late < 45,late
552964,384385,mobile,ended,20.0,,,15 < Late < 30,late
553033,381331,mobile,ended,,,,NaN,early
553153,276924,mobile,ended,5.0,,,Late < 15,late
553240,362608,mobile,ended,,,,NaN,early
553354,401166,mobile,ended,7.0,,,Late < 15,late
553356,381684,mobile,ended,-1.0,,,Early,early
553367,385783,mobile,ended,24.0,519328.0,150.0,15 < Late < 30,late
553511,363658,mobile,ended,170.0,,,Late > 120,late
553532,355444,connect,ended,-20.0,,,Early,early
553660,412936,mobile,ended,-3.0,,,Early,early
553726,347847,mobile,ended,-36.0,,,Early,early
553730,390976,connect,ended,-29.0,,,Early,early
553755,393972,mobile,ended,1.0,,,Late < 15,late
553795,402528,connect,ended,11.0,,,Late < 15,late
553959,398733,mobile,canceled,,,,NaN,early
553984,410694,mobile,ended,-148.0,,,Early,early
554021,411852,mobile,ended,,,,NaN,early
554025,293785,mobile,ended,37.0,,,30 < Late < 45,late
554508,241021,connect,ended,-37.0,,,Early,early
554572,380002,mobile,ended,358.0,,,Late > 120,late
554581,406629,mobile,ended,-5.0,,,Early,early
554672,352631,mobile,canceled,,,,NaN,early
554695,402993,mobile,ended,17.0,560722.0,720.0,15 < Late < 30,late
555081,311353,mobile,ended,-72.0,,,Early,early
555083,328013,mobile,ended,161.0,,,Late > 120,late
555131,324889,mobile,ended,146.0,,,Late > 120,late
555458,351168,mobile,ended,-919.0,,,Early,early
555600,391519,connect,ended,-95.0,,,Early,early
555659,260298,mobile,ended,,,,NaN,early
555703,391926,connect,canceled,,,,NaN,early
555794,327585,mobile,ended,19.0,,,15 < Late < 30,late
555813,360548,mobile,ended,-26.0,,,Early,early
555953,407253,mobile,canceled,,,,NaN,early
555992,375774,mobile,ended,58.0,,,45 < Late < 60,late
556072,320670,mobile,ended,21.0,,,15 < Late < 30,late
556079,374298,connect,ended,-1019.0,,,Early,early
556110,211860,connect,canceled,,,,NaN,early
556143,407632,mobile,ended,181.0,,,Late > 120,late
556241,396767,mobile,canceled,,,,NaN,early
556267,274554,mobile,canceled,,,,NaN,early
556483,413896,mobile,ended,14.0,,,Late < 15,late
556488,296213,mobile,ended,8.0,,,Late < 15,late
556580,397878,mobile,ended,77.0,,,60 < Late < 90,late
556608,368275,mobile,ended,-12.0,,,Early,early
556648,332548,mobile,ended,-581.0,,,Early,early
556696,234356,mobile,ended,59.0,,,45 < Late < 60,late
556755,395962,mobile,ended,98.0,,,90 < Late < 120,late
556986,402773,mobile,ended,23.0,,,15 < Late < 30,late
556999,406205,mobile,ended,14.0,,,Late < 15,late
557296,387427,mobile,ended,7.0,,,Late < 15,late
557314,383126,mobile,ended,-16.0,,,Early,early
557429,321400,connect,canceled,,,,NaN,early
557504,327732,mobile,ended,55.0,,,45 < Late < 60,late
557512,412816,mobile,ended,101.0,,,90 < Late < 120,late
557514,405433,mobile,ended,47.0,,,45 < Late < 60,late
557535,401623,mobile,ended,21.0,,,15 < Late < 30,late
557572,383139,mobile,ended,-85.0,,,Early,early
557674,375915,mobile,ended,15.0,550183.0,480.0,15 < Late < 30,late
557681,410151,mobile,ended,122.0,,,Late > 120,late
557685,272724,mobile,ended,996.0,,,Late > 120,late
557716,249157,mobile,ended,,,,NaN,early
557833,351547,mobile,ended,67.0,,,60 < Late < 90,late
557913,351021,mobile,ended,-4.0,,,Early,early
558047,396746,mobile,ended,-25.0,,,Early,early
558088,245154,connect,ended,-40.0,566170.0,180.0,Early,early
558250,375126,connect,ended,-4.0,549813.0,600.0,Early,early
558342,400165,mobile,canceled,,,,NaN,early
558424,318867,mobile,ended,173.0,,,Late > 120,late
558479,405858,mobile,canceled,,,,NaN,early
558525,297962,connect,ended,-256.0,555341.0,30.0,Early,early
558557,410258,mobile,ended,20.0,,,15 < Late < 30,late
558561,326755,mobile,ended,72.0,,,60 < Late < 90,late
558583,326578,mobile,ended,3.0,,,Late < 15,late
558709,316772,mobile,ended,102.0,,,90 < Late < 120,late
558759,368753,connect,ended,-126.0,,,Early,early
558974,321069,mobile,ended,-5.0,,,Early,early
559078,340616,connect,ended,27.0,,,15 < Late < 30,late
559084,286751,connect,canceled,,,,NaN,early
559107,402084,mobile,ended,,,,NaN,early
559125,297740,mobile,canceled,,,,NaN,early
559318,344677,mobile,ended,2.0,,,Late < 15,late
559331,369354,mobile,ended,89.0,,,60 < Late < 90,late
559428,289720,connect,ended,-16.0,520878.0,90.0,Early,early
559435,281955,mobile,ended,18.0,553797.0,60.0,15 < Late < 30,late
559750,220877,connect,canceled,,,,NaN,early
559781,408776,mobile,ended,44.0,540868.0,0.0,30 < Late < 45,late
559817,394117,mobile,ended,21.0,,,15 < Late < 30,late
559924,376064,mobile,ended,-3.0,,,Early,early
560005,301068,mobile,ended,-78.0,,,Early,early
560079,288452,mobile,ended,52.0,,,45 < Late < 60,late
560311,399361,mobile,canceled,,,,NaN,early
560363,376124,mobile,ended,,,,NaN,early
560720,404020,mobile,ended,-14.0,,,Early,early
560884,410068,mobile,ended,-41.0,,,Early,early
560886,375755,mobile,ended,84.0,,,60 < Late < 90,late
560889,412672,connect,ended,,,,NaN,early
561054,387845,mobile,ended,-18.0,,,Early,early
561083,334859,mobile,ended,65.0,,,60 < Late < 90,late
561111,337217,mobile,ended,10.0,,,Late < 15,late
561157,373726,mobile,ended,-14.0,,,Early,early
561269,389467,mobile,ended,-21.0,,,Early,early
561285,392479,mobile,ended,-40.0,,,Early,early
561366,305917,mobile,ended,-104.0,,,Early,early
561368,249274,connect,ended,-3.0,558711.0,30.0,Early,early
561383,411754,connect,ended,173.0,,,Late > 120,late
561408,310444,connect,ended,-54.0,545475.0,360.0,Early,early
561450,192179,connect,ended,7.0,541144.0,540.0,Late < 15,late
561492,341119,connect,canceled,,,,NaN,early
561596,364996,mobile,ended,108.0,,,90 < Late < 120,late
561706,395613,mobile,ended,-38.0,,,Early,early
561713,414723,mobile,canceled,,,,NaN,early
561726,409636,mobile,ended,-208.0,,,Early,early
561786,409238,mobile,canceled,,,,NaN,early
561819,304112,mobile,canceled,,,,NaN,early
562024,403722,mobile,canceled,,,,NaN,early
562090,404542,mobile,ended,-35.0,,,Early,early
562127,386382,mobile,canceled,,,,NaN,early
562173,394024,mobile,ended,73.0,,,60 < Late < 90,late
562174,381499,connect,ended,73.0,,,60 < Late < 90,late
562211,248539,mobile,canceled,,,,NaN,early
562256,392731,mobile,canceled,,,,NaN,early
562264,408060,mobile,ended,129.0,,,Late > 120,late
562291,404133,connect,ended,-709.0,,,Early,early
562299,386177,mobile,canceled,,,,NaN,early
562409,410088,mobile,ended,-30.0,,,Early,early
562501,242546,mobile,ended,15.0,,,15 < Late < 30,late
562641,381183,mobile,canceled,,,,NaN,early
562669,393442,mobile,ended,30.0,,,30 < Late < 45,late
562807,310571,mobile,ended,-14.0,,,Early,early
563003,310828,mobile,ended,-444.0,,,Early,early
563108,339515,mobile,ended,33.0,,,30 < Late < 45,late
563119,406005,mobile,ended,,,,NaN,early
563142,394272,mobile,canceled,,,,NaN,early
563157,371572,connect,ended,-83.0,,,Early,early
563509,349894,connect,ended,-432.0,,,Early,early
563519,225602,mobile,ended,-16.0,,,Early,early
563552,241021,connect,ended,25.0,567278.0,60.0,15 < Late < 30,late
563775,365793,mobile,ended,,,,NaN,early
563933,347208,connect,ended,27.0,,,15 < Late < 30,late
563998,409663,mobile,ended,-47.0,,,Early,early
564034,358907,mobile,ended,,,,NaN,early
564045,381123,mobile,ended,99.0,554558.0,660.0,90 < Late < 120,late
564094,179429,mobile,ended,4.0,,,Late < 15,late
564208,361262,mobile,ended,90.0,,,90 < Late < 120,late
564269,384150,mobile,canceled,,,,NaN,early
564414,195888,mobile,ended,20.0,564484.0,180.0,15 < Late < 30,late
564449,371530,mobile,canceled,,,,NaN,early
564466,407869,mobile,ended,10.0,,,Late < 15,late
564500,382884,mobile,ended,69.0,555024.0,420.0,60 < Late < 90,late
564521,412426,mobile,canceled,,,,NaN,early
564538,332366,mobile,ended,335.0,,,Late > 120,late
564627,341431,mobile,canceled,,552005.0,150.0,NaN,early
564638,394120,mobile,canceled,,,,NaN,early
564642,340833,mobile,ended,-20.0,,,Early,early
564694,410110,mobile,canceled,,,,NaN,early
564706,384747,mobile,ended,403.0,,,Late > 120,late
564782,356481,mobile,canceled,,,,NaN,early
564785,399718,mobile,ended,1.0,,,Late < 15,late
564825,414525,mobile,canceled,,,,NaN,early
564844,297962,connect,ended,-167.0,,,Early,early
564955,389994,mobile,ended,136.0,,,Late > 120,late
564967,282208,mobile,canceled,,,,NaN,early
564992,366410,mobile,ended,62.0,,,60 < Late < 90,late
565108,354331,mobile,ended,-55.0,,,Early,early
565143,381435,mobile,ended,-100.0,,,Early,early
565205,406475,mobile,ended,-80.0,,,Early,early
565340,415170,mobile,ended,41.0,,,30 < Late < 45,late
565494,368210,mobile,ended,45.0,,,45 < Late < 60,late
565512,376391,mobile,ended,436.0,,,Late > 120,late
